,mch_0,eta_0,e_eta,p_bns,p_bhns,p_gap,p_bbh,p_ns
0,1.0,-1.0,0.25,0.0,0.0,0.9999999999999999,1.8002149547729942e-233,0.0
1,1.0,-1.0,0.5,0.0,0.0,0.9999999999999999,1.464632049349979e-62,0.0
2,1.0,-1.0,0.75,0.0,7.006992000897913e-295,1.0000000000000002,1.0941255310984302e-28,7.006992000897913e-295
3,1.0,-1.0,1.0,1.4081702271918042e-221,1.2487613542561833e-166,1.0,7.084051791543664e-17,1.2487613542561833e-166
4,1.0,-1.0,1.25,1.7903488407850546e-142,2.630430024392696e-107,0.9999999999999999,2.0608792320400298e-11,2.6304300243926958e-107
5,1.0,-1.0,1.5,1.5810833983246032e-99,4.1965497279445253e-75,1.0,1.9608294608708436e-08,4.196549727944525e-75
6,1.0,-1.0,1.75,1.2058744716534416e-73,1.0725967134685837e-55,1.0,1.2594391768313626e-06,1.0725967134685835e-55
7,1.0,-1.0,2.0,7.508657962563989e-57,4.2169901514667184e-43,1.0000000000000004,1.922196454195212e-05,4.216990151466793e-43
8,1.0,-1.0,2.25,2.455725570485753e-45,1.82905851801242e-34,1.0000000000000002,0.00012698020664523286,1.8290585180369773e-34
9,1.0,-1.0,2.5,4.26004498835315e-37,2.782799824071028e-28,0.9999999999999999,0.0004978071288987343,2.7827998283310726e-28
10,1.0,-1.0,2.75,5.3620344649314854e-31,1.0548520957443911e-23,1.0,0.001385433850623786,1.0548521493647355e-23
11,1.0,-1.0,3.0,2.3595035594769444e-26,3.2367759623917316e-20,1.0,0.0030492943015843644,3.2367783218952915e-20
12,1.0,-1.0,3.25,9.781672931062552e-23,1.6899481117990625e-17,1.0000000000000002,0.005682706328483194,1.689957893471993e-17
13,1.0,-1.0,3.5,7.318997727169839e-20,2.4437641536504997e-15,0.9999999999999976,0.009379314702312527,2.4438373436277717e-15
14,1.0,-1.0,3.75,1.5358667800493433e-17,1.3617967989185425e-13,0.999999999999864,0.014136199883927374,1.3619503855965477e-13
15,1.0,-1.0,4.0,1.2291991911196601e-15,3.6818065372138424e-12,0.999999999996317,0.019876812910780327,3.683035736404962e-12
16,1.0,-1.0,4.25,4.673864093264114e-14,5.6934362424087256e-11,0.999999999943019,0.02647870187933997,5.698110106501991e-11
17,1.0,-1.0,4.5,9.912539019023846e-13,5.678166454516997e-10,0.9999999994311921,0.033797701482064825,5.68807899353602e-10
18,1.0,-1.0,4.75,1.3212465075317519e-11,3.993373219752071e-09,0.9999999959934145,0.04168571255126501,4.0065856848273885e-09
19,1.0,-1.0,5.0,1.211400140282562e-10,2.1187866971001643e-08,0.999999978690993,0.05000219279980868,2.13090069850299e-08
20,1.0,-1.0,5.25,8.18858801068724e-10,8.932085744560874e-08,0.9999999098602838,0.058620643168143374,9.013971624667746e-08
21,1.0,-1.0,5.5,4.307088568040213e-09,3.1149354724566337e-07,0.9999996841993642,0.06743155060785297,3.1580063581370356e-07
22,1.0,-1.0,5.75,1.8393895566008163e-08,9.276361875087365e-07,0.999999053969917,0.07634302087617058,9.460300830747447e-07
23,1.0,-1.0,6.0,6.597558512359881e-08,2.419598839691976e-06,0.9999975144255752,0.08528001273249441,2.4855744248155758e-06
24,1.0,-1.0,6.25,2.0424077386414167e-07,5.641751475809734e-06,0.9999941540077504,0.09418279731117149,5.8459922496738754e-06
25,1.0,-1.0,6.5,5.579002518886965e-07,1.1956526233846052e-05,0.9999874855735142,0.10300504937517736,1.251442648573475e-05
26,1.0,-1.0,6.75,1.3692739276465137e-06,2.3347473603484835e-05,0.9999752832524689,0.11171182694594169,2.4716747531131344e-05
27,1.0,-1.0,7.0,3.0650207492795544e-06,4.2483509027601936e-05,0.9999544514702232,0.12027759675756962,4.5548529776881494e-05
28,1.0,-1.0,7.25,6.33547219428794e-06,7.271648323531033e-05,0.9999209480445703,0.1286843991200664,7.905195542959824e-05
29,1.0,-1.0,7.5,1.2219082007339388e-05,0.00011800675913128428,0.9998697741588615,0.13692020459424642,0.00013022584113862363
30,1.0,-1.0,7.75,2.2182432260100993e-05,0.00018278410996835497,0.9997950334577718,0.14497748778464964,0.00020496654222845599
31,1.0,-1.0,8.0,3.8186015818872135e-05,0.00027176083535396847,0.9996900531488273,0.1528520251596807,0.00030994685117284056
32,1.0,-1.0,8.25,6.272753657561263e-05,0.0003897190174411818,0.9995475534459832,0.1605419110030106,0.0004524465540167944
33,1.0,-1.0,8.5,9.885719847711531e-05,0.0005412943487679516,0.9993598484527549,0.1680467767142674,0.0006401515472450669
34,1.0,-1.0,8.75,0.00015016269688962597,0.0007307760030394613,0.9991190613000709,0.17536719282269242,0.0008809386999290871
35,1.0,-1.0,9.0,0.00022072474735399778,0.00096193702896826,0.9988173382236778,0.18250422971960767,0.0011826617763222578
36,1.0,-1.0,9.25,0.0003150465443897004,0.0012379040831084715,0.9984470493725021,0.18945915182909265,0.0015529506274981721
37,1.0,-1.0,9.5,0.00043796231691958277,0.001561070002199994,0.9980009676808806,0.19623322030397783,0.001999032319119577
38,1.0,-1.0,9.75,0.0005945311068686911,0.0019330483633160974,0.9974724205298153,0.2028275809300129,0.0025275794701847885
39,1.0,-1.0,10.0,0.000789922140350499,0.0023546660444043765,0.9968554118152453,0.209243216332069,0.0031445881847548753
40,1.0,0.55,0.25,0.0,0.0,1.0,3.6047114831040265e-155,0.0
41,1.0,0.55,0.5,0.0,0.0,1.0000000000000002,4.9654126722471906e-42,0.0
42,1.0,0.55,0.75,0.0,8.160428536219397e-263,1.0,1.4699539847705955e-19,8.160428536219397e-263
43,1.0,0.55,1.0,1.1311815705854482e-200,1.3605773851305265e-148,0.9999999999999999,9.978050689433391e-12,1.3605773851305265e-148
44,1.0,0.55,1.25,4.2873023829584134e-129,9.208478730788259e-96,0.9999999999999999,4.2607300343883394e-08,9.208478730788257e-96
45,1.0,0.55,1.5,3.0958921712043516e-90,4.3748921377074294e-67,1.0,4.123498719896209e-06,4.3748921377074294e-67
